编号,论文标题 (Paper Title),大致工作内容 (Brief Description)
17,"Anchors of Trust: A Usability Study on User Awareness, Consent, and Control in Cross-Device Authentication",跨设备认证中用户意识、同意与控制权的可用性研究
18,ANONYCALL: Enabling Native Private Calling in Mobile Networks,在移动网络中实现原生私密通话
19,Anota: Identifying Business Logic Vulnerabilities via Annotation-Based Sanitization,基于注解的净化方法识别业务逻辑漏洞
20,Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs,利用注意力机制特征检测并净化间接提示注入攻击
21,Automated Code Annotation with LLMs for Establishing TEE Boundaries,使用LLM自动标注代码以建立可信执行环境边界
22,Automating Function-Level TARA for Automotive Full-Lifecycle Security,自动化汽车全生命周期安全的函数级TARA分析
23,BACnet or 'BADnet'? On the (In)Security of Implicitly Reserved Fields in BACnet,BACnet协议隐式保留字段的安全分析
24,Benchmarking and Understanding Safety Risks in AI Character Platforms,首次对AI角色平台进行大规模安全基准测试，发现不安全响应率高达65.1%
25,Better Safe than Sorry: Uncovering the Insecure Resource Management in App-in-App Cloud Services,揭示应用内嵌应用云服务中的不安全资源管理
26,Beyond Conventional Triggers: Auto-Contextualized Covert Triggers for Android Logic Bombs,为Android逻辑炸弹设计自动上下文化的隐蔽触发器
27,Beyond Jailbreak: Unveiling Risks in LLM Applications Arising from Blurred Capability Boundaries,揭示LLM应用中因能力边界模糊导致的新型风险
28,Beyond Raw Bytes: Towards Large Malware Language Models,构建大规模恶意软件语言模型，超越原始字节分析
29,Beyond RTT: An Adversarially Robust Two-Tiered Approach For Residential Proxy Detection,对抗鲁棒的双层住宅代理检测
30,BINALIGNER: Aligning Binary Code for Cross-Compilation Environment Diffing,跨编译环境二进制代码对齐差异分析
31,Bit of a Close Talker: A Practical Guide to Serverless Cloud Co-Location Attacks,无服务器云同驻攻击实用指南
32,BKPIR: Keyword PIR for Private Boolean Retrieval,用于私有布尔检索的关键词PIR
33,Bleeding Pathways: Vanishing Discriminability in LLM Hidden States Fuels Jailbreak Attacks,LLM隐藏状态判别性消失助长越狱攻击
34,BLERP: BLE Re-Pairing Attacks and Defenses,蓝牙低功耗重新配对攻击与防御
35,Breaking Isolation: A New Perspective on Hypervisor Exploitation via Cross-Domain Attacks,通过跨域攻击利用虚拟机监控器的新视角
36,Breaking the Bulkhead: Demystifying Cross-Namespace Reference Vulnerabilities in Kubernetes Operators,揭示Kubernetes Operator中跨命名空间引用漏洞
37,"Breaking the Generative Steganography Trilemma: ANStega for Optimal Capacity, Efficiency, and Security",解决生成式隐写术的三难困境，实现最优容量、效率与安全
38,BSFuzzer: Context-Aware Semantic Fuzzing for BLE Logic Flaw Detection,上下文感知的语义模糊测试检测蓝牙低功耗逻辑缺陷
39,Bullseye: Detecting Prototype Pollution in NPM Packages with Proof of Concept Exploits,利用PoC漏洞检测NPM包中的原型污染漏洞
40,BunnyFinder: Finding Incentive Flaws for Ethereum Consensus,发现以太坊共识中的激励缺陷
41,"Cache Me, Catch You: Cache Related Security Threats in LLM Serving Frameworks",系统研究LLM服务框架中前缀缓存、语义缓存等6类新型缓存安全威胁
42,Cascading and Proxy Membership Inference Attacks,级联与代理成员推断攻击
43,CAT: Can Trust be Predicted with Context-Awareness in Dynamic Heterogeneous Networks?,动态异构网络中基于上下文感知的信任预测
44,CatBack: Universal Backdoor Attacks on Tabular Data via Categorical Encoding,通过类别编码对表格数据实施通用后门攻击
45,Causal-Guided Detoxify Backdoor Attack of Open-Weight LoRA Models,针对开源LoRA模型的因果引导解毒后门攻击
46,Cease at the Ultimate Goodness: Towards Efficient Website Fingerprinting Defense via Iterative Mutual Information Minimization,通过迭代互信息最小化实现高效网站指纹防御
47,CHAMELEOSCAN: Demystifying and Detecting iOS Chameleon Apps via LLM-Powered UI Exploration,利用LLM驱动的UI探索检测iOS变色龙应用
48,Character-Level Perturbations Disrupt LLM Watermarks,字符级扰动破坏LLM水印机制
49,Characterizing the Implementation of Censorship Policies in Chinese LLM Services,刻画中文LLM服务中审查政策的实现机制
50,Chasing Shadows: Pitfalls in LLM Security Research,揭示LLM安全研究中的常见陷阱与方法论缺陷
51,Chimera: Harnessing Multi-Agent LLMs for Automatic Insider Threat Simulation,利用多Agent LLM自动模拟内部威胁场景
52,Cirrus: Performant and Accountable Distributed SNARK,高性能可问责分布式SNARK
53,CoLD: Collaborative Label Denoising Framework for Network Intrusion Detection,协作式标签去噪框架用于网络入侵检测
54,Connecting the Dots: An Investigative Study on Linking Private User Data Across Messaging Apps,调查跨即时通讯应用关联私有用户数据的方法
55,Consensus in the Known Participation Model with Byzantine Faults and Sleepy Replicas,已知参与模型下拜占庭故障与休眠副本的共识机制
56,Constructive Noise Defeats Adversarial Noise: Adversarial Example Detection for Commercial DNN Services,用构造性噪声对抗对抗性噪声，检测商业DNN服务的对抗样本
57,Continuous User Behavior Monitoring using DNS Cache Timing Attacks,利用DNS缓存时序攻击持续监控用户行为
58,Convergent Privacy Framework for Multi-layer GNNs through Contractive Message Passing,通过收缩消息传递实现多层GNN的收敛隐私框架
59,CoordMail: Exploiting SMTP Timeout and Command Interaction to Coordinate Email Middleware for Convergence Amplification Attack,利用SMTP超时与命令交互协调电子邮件中间件实施收敛放大攻击
60,CoT-DPG: A Co-Training based Dynamic Password Guessing Method,基于协同训练的动态密码猜测方法
61,Crack in the Armor: Underlying Infrastructure Threats to RPKI Publication Point Reachability,RPKI发布点可达性的底层基础设施威胁
62,CRISP: An Efficient Cryptographic Framework for ML Inference Against Malicious Clients,针对恶意客户端的高效机器学习推理密码框架
63,Cross-Boundary Mobile Tracking: Exploring Java-to-JavaScript Information Diffusion in WebViews,探索WebView中Java到JavaScript的信息扩散导致的跨边界移动追踪
64,Cross-Cache Attacks for the Linux Kernel via PCP Massaging,通过PCP按摩实施Linux内核跨缓存攻击
65,Cross-Consensus Reliable Broadcast and its Applications,跨共识可靠广播及其应用
66,Cryptobazaar: Private Sealed-bid Auctions at Scale,大规模私有密封竞价拍卖
67,CryptPEFT: Efficient and Private Neural Network Inference via Parameter-Efficient Fine-Tuning,通过参数高效微调实现高效私密神经网络推理
68,CTng: Secure Certificate and Revocation Transparency,安全证书与撤销透明性
69,CtPhishCapture: Uncovering Credential-Theft-Based Phishing Scams Targeting Cryptocurrency Wallets,揭露针对加密货币钱包的凭证窃取型钓鱼诈骗
70,cwPSU: Efficient Unbalanced Private Set Union via Constant-weight Codes,基于恒重码的高效非平衡私有集合求并
71,Dataset Reduction and Watermark Removal via Self-supervised Learning for Model Extraction Attack,利用自监督学习减少数据集并去除水印以实施模型提取攻击
72,Decompiling the Synergy: An Empirical Study of Human–LLM Teaming in Software Reverse Engineering,实证研究人机协作在软件逆向工程中的协同效应
73,Demystifying RPKI-Invalid Prefixes: Hidden Causes and Security Risks,揭示RPKI无效前缀的隐藏原因与安全风险
74,Demystifying the Access Control Mechanism of ESXi VMKernel,揭示ESXi VMKernel的访问控制机制
75,DirtyFree: Simplified Data-Oriented Programming in the Linux Kernel,简化Linux内核中面向数据的编程攻击
76,Discovering Blind-Trust Vulnerabilities in PLC Binaries via State Machine Recovery,通过状态机恢复发现PLC二进制中的盲信漏洞
77,Distributed Broadcast Encryption for Confidential Interoperability across Private Blockchains,跨私有区块链的机密互操作分布式广播加密
78,DNN Latency Sequencing: Extracting DNN Architectures from Intel SGX Enclaves with Single-Stepping Attacks,通过单步攻击从SGX Enclave中提取DNN架构
79,DOM-XSS Detection via Webpage Interaction Fuzzing and URL Component Synthesis,通过网页交互模糊测试和URL组件合成检测DOM型XSS
80,DUALBREACH: Efficient Dual-Jailbreaking via Target-Driven Initialization and Multi-Target Optimization,通过目标驱动初始化和多目标优化实现高效双重越狱
81,"DualStrike: Accurate, Real-time Eavesdropping and Injection of Keystrokes on Commodity Keyboards",商用键盘上的精准实时窃听与按键注入
82,Efficiently Detecting DBMS Bugs through Bottom-up Syntax-based SQL Generation,基于自下而上语法SQL生成高效检测数据库管理系统漏洞
83,Enhancing Legal Document Security and Accessibility with TAF,使用TAF增强法律文件安全性与可访问性
84,Enhancing Semantic-Aware Binary Diffing with High-Confidence Dynamic Instruction Alignment,通过高置信度动态指令对齐增强语义感知二进制差异分析
85,Enhancing Website Fingerprinting Attacks against Traffic Drift,增强对抗流量漂移的网站指纹攻击
86,Entente: Cross-silo Intrusion Detection on Network Log Graphs with Federated Learning,基于联邦学习的跨域网络日志图入侵检测
87,Eviction Notice: Reviving and Advancing Page Cache Attacks,复兴并推进页缓存攻击
88,EXIA: Trusted Transitions for Enclaves via External-Input Attestation,通过外部输入证明实现Enclave可信转换
89,Exploiting TLBs in Virtualized GPUs for Cross-VM Side-Channel Attacks,利用虚拟化GPU的TLB实施跨VM侧信道攻击
90,ExpShield: Safeguarding Web Text from Unauthorized Crawling and LLM Exploitation,通过不可见扰动保护网页文本免受未授权爬取和LLM利用
91,Fast Pointer Nullification for Use-After-Free Prevention,快速指针空化防止释放后使用漏洞
92,Faster Than Ever: A New Lightweight Private Set Intersection and Its Variants,新型轻量级私有集合求交及其变体
93,FidelityGPT: Correcting Decompilation Distortions with Retrieval Augmented Generation,利用检索增强生成纠正反编译失真
94,FirmAgent: Leveraging Fuzzing to Assist LLM Agents with IoT Firmware Vulnerability Discovery,利用模糊测试辅助LLM Agent发现IoT固件漏洞
95,FirmCross: Detecting Taint-style Vulnerabilities in Modern C-Lua Hybrid Web Services of Linux-based Firmware,检测基于Linux固件的现代C-Lua混合Web服务中的污点式漏洞
96,FLIPPYRAM: A Large-Scale Study of Rowhammer Prevalence,大规模研究Rowhammer漏洞的普遍性
97,FlyTrap: Physical Distance-Pulling Attack Towards Camera-based Autonomous Target Tracking Systems,针对基于摄像头的自主目标跟踪系统的物理距离牵引攻击
98,Formal Analysis of BLE Secure Connection Pairing and Revelation of the PE Confusion Attack,BLE安全连接配对的形式化分析与PE混淆攻击揭示
99,From Noise to Signal: Precisely Identify Affected Packages of Known Vulnerabilities in npm Ecosystem,精确识别npm生态系统中已知漏洞影响的具体包
100,From Obfuscated to Obvious: A Comprehensive JavaScript Deobfuscation Tool for Security Analysis,综合JavaScript反混淆工具辅助安全分析
101,From Perception to Protection: A Developer-Centered Study of Security and Privacy Threats in Extended Reality (XR),以开发者为中心研究扩展现实中的安全与隐私威胁
102,Fuzzilicon: A Post-Silicon Microcode-Guided x86 CPU Fuzzer,硅后微码引导的x86 CPU模糊测试
103,GoldenFuzz: Generative Golden Reference Hardware Fuzzing,基于生成式黄金参考的硬件模糊测试
104,Hey there! You are using WhatsApp: Enumerating Three Billion Accounts for Security and Privacy,枚举30亿WhatsApp账户以研究安全与隐私问题
105,Hiding an Ear in Plain Sight: On the Practicality and Implications of Acoustic Eavesdropping with Telecom Fiber Optic Cables,利用电信光纤电缆进行声学窃听的实用性研究
106,HoneySat: A Network-based Satellite Honeypot Framework,基于网络的卫星蜜罐框架
107,HOUSTON: Real-Time Anomaly Detection of Attacks against Ethereum DeFi Protocols,实时检测针对以太坊DeFi协议的攻击异常
108,HyperMirage: Direct State Manipulation in Hybrid Virtual CPU Fuzzing,混合虚拟CPU模糊测试中的直接状态操控
109,Icarus: Achieving Performant Asynchronous BFT with Only Optimistic Paths,仅通过乐观路径实现高性能异步拜占庭容错
110,Identifying Logical Vulnerabilities in QUIC Implementations,识别QUIC实现中的逻辑漏洞
111,Idioms: A Simple and Effective Framework for Turbo-Charging Local Neural Decompilation with Well-Defined Types,利用良好定义类型加速本地神经反编译
112,In-Context Probing for Membership Inference in Fine-Tuned Language Models,微调语言模型中的上下文探测成员推断
113,Incident Response Planning Using a Lightweight Large Language Model with Reduced Hallucination,使用轻量级大语言模型进行事件响应规划以减少幻觉
114,Indicator of Benignity: An Industry View of False Positive in Malicious Domain Detection and its Mitigation,恶意域名检测中误报的工业视角与缓解
115,InverTune: A Backdoor Defense Method for Multimodal Contrastive Learning via Backdoor-Adversarial Correlation Analysis,通过后门对抗相关分析实现多模态对比学习后门防御
116,IoTBec: An Accurate and Efficient Recurring Vulnerability Detection Framework for Black Box IoT devices,面向黑盒IoT设备的精准高效复发漏洞检测框架
117,Ipotane: Balancing the Good and Bad Cases of Asynchronous BFT,平衡异步拜占庭容错的好情况与坏情况
118,IsolatOS: Detecting Double Fetch Bugs in COTS RTOS by Re-enabling Kernel Isolation,通过重新启用内核隔离检测商用RTOS双取漏洞
119,Janus: Enabling Expressive and Efficient ACLs in High-speed RDMA Clouds,在高速RDMA云中实现表达性强且高效的访问控制列表
120,Kangaroo: A Private and Amortized Inference Framework over WAN for Large-Scale Decision Tree Evaluation,广域网上面向大规模决策树评估的私有均摊推理框架
121,Know Me by My Pulse: Toward Practical Continuous Authentication on Wearable Devices via Wrist-Worn PPG,通过腕部PPG实现可穿戴设备实用持续认证
122,KnowHow: Automatically Applying High-Level CTI Knowledge for Interpretable and Accurate Provenance Analysis,自动应用高级威胁情报知识实现可解释且准确的溯源分析
123,LatticeBox: A Hardware-Software Co-Designed Framework for Scalable and Low-Latency Compartmentalization,软硬件协同设计的可扩展低延迟隔离框架
124,Learning from Leakage: Database Reconstruction from Just a Few Multidimensional Range Queries,从少量多维范围查询泄露中重建数据库
125,Les Dissonances: Cross-Tool Harvesting and Polluting in Pool-of-Tools Empowered LLM Agents,发现多工具LLM Agent中的跨工具收获与污染威胁，75%工具存在漏洞
126,Light into Darkness: Demystifying Profit Strategies Throughout the MEV Bot Lifecycle,揭示MEV机器人全生命周期的获利策略
127,Light2Lie: Detecting Deepfake Images Using Physical Reflectance Laws,利用物理反射定律检测深度伪造图像
128,Lightweight Internet Bandwidth Allocation and Isolation with Fractional Fair Shares,基于分数公平份额的轻量级互联网带宽分配与隔离
129,Limitless Scalability: A High-Throughput and Replica-Agnostic BFT Consensus,高吞吐与副本无关的拜占庭容错共识
130,LinkGuard: A Lightweight State-Aware Runtime Guard Against Link Following Attacks in Windows File System,轻量级状态感知运行时防护抵御Windows文件系统链接跟随攻击
131,LLMBisect: Breaking Barriers in Bug Bisection with A Comparative Analysis Pipeline,利用比较分析流水线突破缺陷定位障碍
132,Losing the Beat: Understanding and Mitigating Desynchronization Risks in Container Isolation,理解并缓解容器隔离中的去同步风险
133,Mapping the Cloud: A Mixed-Methods Study of Cloud Security and Privacy Configuration Challenges,混合方法研究云安全与隐私配置挑战
134,Memory Backdoor Attacks on Neural Networks,针对神经网络的记忆后门攻击
135,Memory Band-Aid: A Principled Rowhammer Defense-in-Depth,原则性深度防御Rowhammer
136,MEVisor: High-Throughput MEV Discovery in DEXs with GPU Parallelism,利用GPU并行性实现DEX中高吞吐MEV发现
137,MIMIR: Masked Image Modeling for Mutual Information-based Adversarial Robustness,基于掩码图像建模的互信息对抗鲁棒性
138,MinBucket MPSI: Breaking the Max-Size Bottleneck in Multi-Party Private Set Intersection,打破多方私有集合求交的最大尺寸瓶颈
139,"Mirage: Private, Mobility-based Routing for Censorship Evasion",基于移动性的私有路由规避审查
140,Mobius: Enabling Byzantine-Resilient Single Secret Leader Election with Uniquely Verifiable State,实现拜占庭弹性单秘密领袖选举
141,MUTATO: Enhancing Fuzz Drivers with Adaptive API Option Mutation,通过自适应API选项变异增强模糊测试驱动
142,MVP-ORAM: a Wait-free Concurrent ORAM for Confidential BFT Storage,无等待并发ORAM用于机密拜占庭容错存储
143,MVPNalyzer: An Investigative Framework for Auditing the Security & Privacy of Mobile VPNs,审计移动VPN安全与隐私的调查框架
144,NetRadar: Enabling Robust Carpet Bombing DDoS Detection,实现鲁棒的地毯式轰炸DDoS检测
145,NeuroStrike: Neuron-Level Attacks on Aligned LLMs,针对对齐LLM的神经元级攻击
146,NEXUS: Towards Accurate and Scalable Mapping between Vulnerabilities and Attack Techniques,实现漏洞与攻击技术之间的精准可扩展映射
147,ObliInjection: Order-Oblivious Prompt Injection Attack to LLM Agents with Multi-source Data,针对多源数据LLM Agent的顺序无关提示注入攻击
148,OCCUPY+PROBE: Cross-Privilege Branch Target Buffer Side-Channel Attacks at Instruction Granularity,指令粒度跨权限分支目标缓冲区侧信道攻击
149,Odysseus: Jailbreaking Commercial Multimodal LLM-integrated Systems via Dual Steganography,通过双重隐写术越狱商业多模态LLM集成系统
150,On the Security Risks of Memory Adaptation and Augmentation in Data-plane DoS Mitigation,数据平面DoS缓解中内存适应与增强的安全风险
151,"One Email, Many Faces: A Deep Dive into Identity Confusion in Email Aliases",深入研究电子邮件别名中的身份混淆
152,OSAVRoute: Advancing Outbound Source Address Validation Deployment Detection with Non-Cooperative Measurement,通过非合作测量推进出站源地址验证部署检测
153,PACS: Privacy-Preserving Attribute-Driven Community Search over Attributed Graphs,属性图上隐私保护的属性驱动社区搜索
154,Paladin: Defending LLM-enabled Phishing Emails with a New Trigger-Tag Paradigm,使用新型触发-标签范式防御LLM驱动的钓鱼邮件
155,Pallas and Aegis: Rollback Resilience in TEE-Aided Blockchain Consensus,TEE辅助区块链共识中的回滚弹性
156,Pando: Extremely Scalable BFT Based on Committee Sampling,基于委员会采样的极可扩展拜占庭容错
157,PANDORA: Lightweight Adversarial Defense for Edge IoT using Uncertainty-Aware Metric Learning,使用不确定性感知度量学习实现边缘IoT轻量级对抗防御
158,Passive Multi-Target GUTI Identification via Visual-RF Correlation in LTE Networks,通过视觉-射频相关性在LTE网络中被动识别多目标GUTI
159,PathProb: Probabilistic Inference and Path Scoring for Enhanced and Flexible BGP Route Leak Detection,概率推断与路径评分增强BGP路由泄露检测
160,Peering Inside the Black-Box: Long-Range and Scalable Model Architecture Snooping via GPU Electromagnetic Side-Channel,通过GPU电磁侧信道远程窥探模型架构
161,PhantomMap: GPU-Assisted Kernel Exploitation,GPU辅助的内核利用
162,PhantomMotion: Laser-Based Motion Injection Attacks on Wireless Security Surveillance Systems,基于激光的运动注入攻击无线安防监控系统
163,"PhishLang: A Real-Time, Fully Client-Side Phishing Detection Framework Using MobileBERT",使用MobileBERT的实时全客户端钓鱼检测框架
164,PhyFuzz: Detecting Sensor Vulnerabilities with Physical Signal Fuzzing,使用物理信号模糊测试检测传感器漏洞
165,PIRANHAS: PrIvacy-Preserving Remote Attestation in Non-Hierarchical Asynchronous Swarms,非分层异步群体中的隐私保护远程证明
166,Pitfalls for Security Isolation in Multi-CPU Systems,多CPU系统中安全隔离的陷阱
167,PortRush: Detect Write Port Contention Side-Channel Vulnerabilities via Hardware Fuzzing,通过硬件模糊测试检测写端口争用侧信道漏洞
168,Practical Traceable Over-Threshold Multi-Party Private Set Intersection,实用可追踪超阈值多方私有集合求交
169,PriSrv+: Privacy and Usability-Enhanced Wireless Service Discovery with Fast and Expressive Matchmaking Encryption,快速且富有表现力的匹配加密增强无线服务发现隐私与可用性
170,PrivATE: Differentially Private Average Treatment Effect Estimation for Observational Data,差分隐私下观察数据的平均处理效应估计
171,PrivCode: When Code Generation Meets Differential Privacy,代码生成与差分隐私的结合
172,PrivORL: Differentially Private Synthetic Dataset for Offline Reinforcement Learning,面向离线强化学习的差分隐私合成数据集
173,Prompt Injection Attack to Tool Selection in LLM Agents,针对LLM Agent工具选择阶段的提示注入攻击
174,ProtocolGuard: Detecting Protocol Non-compliance Bugs via LLM-guided Static Analysis and Dynamic Verification,通过LLM引导的静态分析与动态验证检测协议不合规漏洞
175,Pruning the Tree: Rethinking RPKI Architecture from the Ground up,从根本上重新思考RPKI架构
176,Prεεmpt: Sanitizing Sensitive Prompts for LLMs,净化LLM敏感提示
177,Q-MLLM: Vector Quantization for Robust Multimodal Large Language Model Security,向量量化实现鲁棒多模态大语言模型安全
178,QNBAD: Quantum Noise-induced Backdoor Attacks against Zero Noise Extrapolation,针对零噪声外推的量子噪声诱导后门攻击
179,ReFuzz: Reusing Tests for Processor Fuzzing with Contextual Bandits,利用上下文赌博机重用测试进行处理器模糊测试
180,Repairing Trust in Domain Name Disputes Practices: Insights from a Quarter-Century's Worth of Squabbles,从25年域名争议实践中修复信任
181,Rethinking Fake Speech Detection: A Generalized Framework Leveraging Spectrogram Magnitude,利用频谱图幅度重新思考假语音检测
182,Revealing The Secret Power: How Algorithms Can Influence Content Visibility on Twitter/X,揭示算法如何影响Twitter/X内容可见性
183,Revisiting Differentially Private Hyper-parameter Tuning,重新审视差分隐私超参数调优
184,Robust Fraud Transaction Detection: A Two-Player Game Approach,使用双人博弈方法实现鲁棒欺诈交易检测
185,ropbot: Reimaging Code Reuse Attack Synthesis,重新构想代码重用攻击自动化合成
186,Rounding-Guided Backdoor Injection in Deep Learning Model Quantization,深度学习模型量化中的舍入引导后门注入
187,RoundRole: Unlocking the Efficiency of Multi-party Computation with Bandwidth-aware Execution,带宽感知执行提升多方计算效率
188,RTCON: Context-Adaptive Function-Level Fuzzing for RTOS Kernels,面向RTOS内核的上下文自适应函数级模糊测试
189,RTrace: Towards Better Visibility of Shared Library Execution,提升共享库执行可见性
190,SACK: Systematic Generation of Function Substitution Attacks Against Control-Flow Integrity,系统化生成针对控制流完整性的函数替换攻击
191,SAGA: A Security Architecture for Governing AI Agentic Systems,提出SAGA框架，通过Provider和访问控制令牌实现AI Agent的安全治理
192,Scalable Off-Chain Auctions,可扩展链下拍卖
193,SECV: Securing Connected Vehicles with Hardware Trust Anchors,使用硬件信任锚保护联网车辆
194,Select-Then-Compute: Encrypted Label Selection and Analytics over Distributed Datasets using FHE,使用全同态加密在分布式数据集上进行加密标签选择与分析
195,Shadow in the Cache: Unveiling and Mitigating Privacy Risks of KV-cache in LLM Inference,揭示并缓解LLM推理中KV缓存的隐私风险
196,Should I Trust You? Rethinking the Principle of Zone-Based Isolation DNS Bailiwick Checking,重新思考基于区域隔离的DNS管辖权检查原则
197,Side-channel Inference of User Activities in AR/VR Using GPU Profiling,利用GPU性能分析侧信道推断AR/VR用户活动
198,SIPConfusion: Exploiting SIP Semantic Ambiguities for Caller ID and SMS Spoofing,利用SIP语义模糊性实施来电显示和短信欺骗
199,"Small Cell, Big Risk: A Security Assessment of 4G LTE Femtocells in the Wild",野外4G LTE Femtocell安全评估
200,SNPeek: Side-Channel Analysis for Privacy Applications on Confidential VMs,机密VM上隐私应用的侧信道分析
201,SoK: Analysis of Accelerator TEE Designs,加速器TEE设计系统分析
202,SoK: Cryptographic Authenticated Dictionaries,密码学认证字典系统综述
203,SoK: Take a Deep Step into Linux Kernel Hardening Effectiveness from the Offensive-Defensive Perspective,从攻防视角深入研究Linux内核加固有效性
204,SoK: Understanding the Fundamentals and Implications of Sensor Out-of-band Vulnerabilities,理解传感器带外漏洞的基础与影响
205,STIP: Three-Party Privacy-Preserving and Lossless Inference for Large Transformers in Production,生产环境中面向大型Transformer的三方隐私保护无损推理
206,Success Rates Doubled with Only One Character: Mask Password Guessing,仅用一个字符使掩码密码猜测成功率翻倍
207,SVDefense: Effective Defense against Gradient Inversion Attacks via Singular Value Decomposition,通过奇异值分解有效防御梯度反转攻击
208,SYSYPHUZZ: the Pressure of More Coverage,面向更高覆盖率的压力模糊测试
209,Targeted Password Guessing Using k-Nearest Neighbors,使用k近邻实现定向密码猜测
210,Targeted Physical Evasion Attacks in the Near-Infrared Domain,近红外域定向物理逃逸攻击
211,TBTrackerX: Fantastic Trigger Bots and Where to Find Malicious Campaigns on X,在X平台上发现恶意活动的触发机器人
212,The Dark Side of Flexibility: Detecting Risky Permission Chaining Attacks in Serverless Applications,检测无服务器应用中的风险权限链攻击
213,The Heat is On: Understanding and Mitigating Vulnerabilities of Thermal Image Perception in Autonomous Systems,理解并缓解自主系统中热图像感知漏洞
214,The Role of Privacy Guarantees in Voluntary Donation of Private Health Data for Altruistic Goals,隐私保证在自愿捐赠私人健康数据中的作用
215,There is No War in Ba Sing Se: A Global Analysis of Content Moderation in Large Language Models,首次对15个领先LLM在全球12个地点13种语言下的内容审核行为进行大规模分析
216,ThinkTrap: Denial-of-Service Attacks against Black-box LLM Services via Infinite Thinking,通过无限思考对黑盒LLM服务实施拒绝服务攻击
217,Through the Authentication Maze: Detecting Authentication Bypass Vulnerabilities in Firmware Binaries,检测固件二进制中的认证绕过漏洞
218,Tickets to Hide: An Inside Look into the Anti-Abuse Ecosystem through Internal Abuse Data,通过内部滥用数据深入了解反滥用生态系统
219,Time and Time Again: Leveraging TCP Timestamps to Improve Remote Timing Attacks,利用TCP时间戳改进远程定时攻击
220,Time will Tell: Large-scale De-anonymization of Hidden I2P Services via Live Behavior Alignment,通过实时行为对齐大规模去匿名化隐藏I2P服务
221,TIPSO-GAN: Malicious Network Traffic Detection Using a Novel Optimized Generative Adversarial Network,使用新型优化生成对抗网络检测恶意网络流量
222,To Shuffle or not to Shuffle: Auditing DP-SGD with Shuffling,审计DP-SGD中混洗机制的有效性
223,Token Time Bomb: Evaluating JWT Implementations for Vulnerability Discovery,评估JWT实现以发现漏洞
224,Towards Effective Prompt Stealing Attack against Text-to-Image Diffusion Models,针对文生图扩散模型的有效提示窃取攻击
225,"Trust Me, I Know This Function: Hijacking LLM Static Analysis using Bias",利用偏见劫持LLM静态分析
226,UIEE: Secure and Efficient User-space Isolated Execution Environment for Embedded TEE Systems,嵌入式TEE系统的安全高效用户空间隔离执行环境
227,Understanding the Status and Strategies of the Code Signing Abuse Ecosystem,理解代码签名滥用生态系统的现状与策略
228,Understanding the Stealthy BGP Hijacking Risk in the ROV Era,理解ROV时代的隐蔽BGP劫持风险
229,Unknown Target: Uncovering and Detecting Novel In-Flight Attacks to Collision Avoidance (TCAS),发现并检测针对空中防撞系统(TCAS)的新型空中攻击
230,Unshaken by Weak Embedding: Robust Probabilistic Watermarking for Dataset Copyright Protection,鲁棒概率水印保护数据集版权
231,Unveiling BYOVD Threats: Malware's Use and Abuse of Kernel Drivers,揭示恶意软件对内核驱动的使用与滥用
232,User-Space Dependency-Aware Rehosting for Linux-Based Firmware Binaries,面向Linux固件二进制的用户空间依赖感知重托管
